File name,Zone,Patry,Hostplant,Sex,BL,OL,Wing length,Wing width,Wing area,Melanized area,Melanization ratio,LMPC1,LMPC2,LMPC3,LMPC4,LMPC5,LMPC6,Baltic
CHES18_216aWing1a.jpg,CHES,Sympatry,Heterophyllum,Male,4.49,n/a,4.59,2.2,8.2584,5.4281,65.72822823,0.0035203,0.0035258,-0.0047381,-0.0077404,-0.0017267,-0.0067817,East
CHES18_216bWing1a.jpg,CHES,Sympatry,Heterophyllum,Female,4.69,1.91,4.921568627,2.31372549,9.132160707,5.833237216,63.87576175,0.010247,0.0021366,-0.0068115,0.0037769,-0.009867,-0.0054348,East
CHES18_217aWing1a.jpg,CHES,Sympatry,Heterophyllum,Male,4.5,n/a,4.676923077,2.287179487,8.638316897,4.607389875,53.33666188,0.0137,0.00038583,0.00044499,0.0050263,-0.0085867,0.0091702,East
CHES18_217bWing1a.jpg,CHES,Sympatry,Heterophyllum,Female,4.85,1.9,5.208333333,2.322916667,9.487087674,5.316948785,56.04405659,0.0051851,0.00091366,0.0075424,0.0071501,0.0019164,0.0016495,East
CHES18_218aWing1a.jpg,CHES,Sympatry,Heterophyllum,Male,4.3,n/a,4.204081633,1.948979592,6.448979592,3.589129529,55.65422371,-0.0042977,-0.015977,-0.0012636,0.0034546,-0.0056058,-0.0084219,East
CHES18_219aWing1a.jpg,CHES,Sympatry,Heterophyllum,Male,4.79,n/a,5.141414141,2.303030303,9.497602285,5.774920926,60.80398771,-0.0078568,-0.0075816,-0.0045024,0.01479,0.0036755,-0.009053,East
CHES18_220aWing1a.jpg,CHES,Sympatry,Heterophyllum,Male,4.53,n/a,4.587064677,2.099502488,7.826241925,5.0857157,64.9828583,-0.012339,0.003561,0.0049666,0.0084859,-0.0035469,-0.0081929,East
CHES18_220bWing1a.jpg,CHES,Sympatry,Heterophyllum,Female,3.97,1.55,4.07,1.82,6.1955,4.0784,65.82842386,-0.0060259,0.017891,-0.0064399,-0.00017723,-0.0097033,-0.0066207,East
CHES18_221aWing1a.jpg,CHES,Sympatry,Heterophyllum,Male,4.71,n/a,4.881188119,2.267326733,8.913930007,5.976570924,67.04754154,-0.0013127,-0.0017079,0.0010625,0.019495,0.0070575,-0.0073705,East
CHES18_222bWing1a.jpg,CHES,Sympatry,Heterophyllum,Female,4.36,1.75,4.82,2.2,8.6747,5.342,61.58138034,-0.0016579,0.016268,0.019737,0.0094953,0.0057755,-0.0048821,East
